id,name,sku,description,price,special_price,erpstock_label,manufacturer_label,Processeur,Système d'exploitation,Mémoire RAM,Disque Dur,Carte mère,Carte Graphique,Dimensions,Garantie,Couleur
63764,PC de Bureau ALL IN ONE LENOVO A100 Intel N100 8G 256Go SSD - Gris,F0J6005PFG,"Écran 23.8"" Full HD, IPS - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR4-3200 - Disque Dur: 256Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 2x USB-A 2.0, 2x USB-A 3.2 Gen 2, 1x sortie HDMI® 1.4b, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm) - Couleur: Gris nuage - Garantie: 1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *",1099,,En stock,LENOVO,"Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad",FreeDos,8 Go DDR4,256Go SSD,,Intel UHD Graphics avec Wi,,1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *,Gris nuage
64395,PC de Bureau LENOVO ThinkCentre néo 50q Gen 5 i3 13è Gén 8Go 512Go SSD ,13B90021FM,"Processeur: Intel Core i3-1315U (up to 4.50 GHz Turbo max , 10 Mo de Mémoire Cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR5 - Disque Dur: 512 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB-C 3.2 Gen 2, 3x USB-A 3.2 Gen 2, 2x USB-A 2.0, 1x HDMI 2.1 TMDS, 1x RJ-45, 1x DisplayPort 1.4b, 1x prise combinée casque/microphone (3,5 mm) - Couleur: Noir - Garantie: 3 ans + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *",1099,,En stock,LENOVO,Intel Core i3,FreeDos,8 Go DDR5,512 Go SSD,,Intel UHD Graphics avec Wi,,3 ans + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *,Noir
65932,Pc de Bureau Pro MYTEK AMD RYZEN 5 16G 500Go SSD - Noir,SHIELD-3400G-16G,"Processeur: AMD Ryzen™ 5 3400G ( 3.7 GHz up to 4.2 GHz Turbo max , 4Mo Mémoire cache, Quad-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 16Go DDR4 3200Mhz - Disque Dur: MSI SSD SPATIUM M450 M.2 NVME Gen4x4 500Go R3600-W2300 - Carte mère: MSI A520M-A PRO mATX - Carte graphique: AMD Radeon Vega 11 Graphics - Boîtier MSI PRO SHIELD M100P / Micro-ATX / 1 ventilo 80 - Bloc d'alimentation MSI MAG A300N-H - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",1129,,En arrivage,MYTEK,"AMD Ryzen™ 5 3400G ( 3.7 GHz up to 4.2 GHz Turbo max , 4Mo Mémoire cache, Quad",FreeDos,16Go DDR4 3200Mhz,MSI SSD SPATIUM M450 M.2 NVME Gen4x4 500Go R3600,MSI A520M,AMD Radeon Vega 11 Graphics,,1 an Retrait en Magasin ou Livraison Gratuite *,Noir
63998,Pc de Bureau Pro MYTEK AMD RYZEN5 8Go 500Go SSD - Noir,SHIELD-5500GT,"Processeur: AMD Ryzen™ 5 5500GT ( 3,6 GHz up to 4,4 GHz Turbo max , 16Mo Mémoire cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 8Go DDR4 3200MHz - Disque Dur: MSI SSD SPATIUM M450 M.2 NVME Gen4x4 500Go R3600-W2300 - Carte mère: MSI B450M-A PRO MAX II - Carte graphique: AMD Radeon Vega 8 Graphics - Boîtier MSI PRO SHIELD M100P / Micro-ATX / 1 ventilo 80 - Bloc d'alimentation MSI MAG A300N-H - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite *",1139,,Sur commande 48h,MYTEK,"AMD Ryzen™ 5 5500GT ( 3,6 GHz up to 4,4 GHz Turbo max , 16Mo Mémoire cache, Hexa",FreeDos,8Go DDR4 3200MHz,MSI SSD SPATIUM M450 M.2 NVME Gen4x4 500Go R3600,MSI B450M,AMD Radeon Vega 8 Graphics,,1 an Retrait en Magasin ou Livraison Gratuite *,Noir
55546,PC de Bureau DELL VOSTRO 3030 i3 12è Gén 8Go 512Go SSD - Noir,3030-I3-512SSD,"Processeur: Intel Core i3-12100 ( 3,30 GHz up to 4,30 GHz Turbo max , 12Mo de Mémoire Cache, Quad-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR5 - Disque Dur: 512Go SSD - Carte Graphique: Intel® UHD Graphics avec Wifi, Bluetooth, 3x USB 3.2 Gen 1, 1x USB 3.2 Gen 1 Type-C, 4x USB 2.0, 1x HDMI 1.4b, 1x RJ-45, 1x DisplayPort 1.4a, 1x prise casque, 1x sortie audio - Couleur: Noir - Garantie: 1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *",1149,,Epuisé,DELL,Intel Core i3,FreeDos,8 Go DDR5,512Go SSD,,"Intel® UHD Graphics avec Wifi, Bluetooth, 3x USB 3.2 Gen 1, 1x USB 3.2 Gen 1 Type",,1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *,Noir
66266,PC de Bureau LENOVO ThinkCentre néo 50Q Gen 5 i3 13è Gén 16G 512Go SSD,13B90028FM-16G,"Processeur: Intel Core i3-1315U (up to 4.50 GHz Turbo max , 10 Mo de Mémoire Cache, Hexa-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go DDR5 - Disque Dur: 512 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB-C 3.2 Gen 2, 3x USB-A 3.2 Gen 2, 2x USB-A 2.0, 1x HDMI 2.1 TMDS, 1x RJ-45, 1x DisplayPort 1.4b, 1x prise combinée casque/microphone (3,5 mm) - Couleur: Noir - Garantie: 1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *",1159,,En stock,LENOVO,Intel Core i3,FreeDos,16 Go DDR5,512 Go SSD,,Intel UHD Graphics avec Wi,,1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *,Noir
66791,PC de Bureau DELL OPTIPLEX 7020 MT i3 12è Gén 8G 512Go SSD - Noir,N116O7020MTEMEA-3Y,"Processeur: Intel Core i3-12100 (Up to 4.30 GHz Turbo max , 12Mo de Mémoire Cache, Quad-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 8Go DDR5 - Disque Dur: 512Go SSD - Carte Graphique: Intel® UHD Graphics avec 4x USB 2.0, 1x USB 3.2 Gen 1, 2x USB-A 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x DisplayPort 1.4a, 1x RJ-45, Prise jack audio universelle - Couleur: Noir - Garantie: 3 ans Retrait en Magasin ou Livraison Gratuite *",1255,1159.0,En stock,DELL,Intel Core i3,FreeDos,8Go DDR5,512Go SSD,,"Intel® UHD Graphics avec 4x USB 2.0, 1x USB 3.2 Gen 1, 2x USB",,3 ans Retrait en Magasin ou Livraison Gratuite *,Noir
69414,PC de Bureau ALL IN ONE LENOVO A100 Intel N100 8G 256G SSD - Gris,F0J6005PFG-W11P,"Écran 23.8"" Full HD, IPS - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad-Core ) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 8 Go DDR4-3200 - Disque Dur: 256Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 2x USB-A 2.0, 2x USB-A 3.2 Gen 2, 1x sortie HDMI® 1.4b, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm) - Couleur: Gris nuage - Garantie: 1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *",1159,,En stock,LENOVO,"Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad",Windows 11 Pro,8 Go DDR4,256Go SSD,,Intel UHD Graphics avec Wi,,1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *,Gris nuage
64093,PC de Bureau ALL IN ONE LENOVO V100 Intel N100 8G 512Go SSD - Noir,13BE000HFM,"Écran 23.8"" Full HD, IPS - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad-Core ) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR4-3200 - Disque Dur: 512Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 2x USB-A 2.0, 2x USB-A 3.2 Gen 2, 1x sortie HDMI® 1.4b, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm) - Couleur: Noir - Garantie: 2 ans + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *",1199,,En stock,LENOVO,"Intel® N100 (Up to 3,40 GHz Turbo max , 6 Mo de mémoire cache, Quad",FreeDos,8 Go DDR4,512Go SSD,,Intel UHD Graphics avec Wi,,2 ans + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *,Noir
58531,PC de Bureau DELL VOSTRO 3030 i3 12ème Gén 8G 512G SSD - Noir,BU-3030-I3-512SSD-W11P,"Processeur: Intel Core i3-12100 ( 3,30 GHz up to 4,30 GHz Turbo max , 12Mo de Mémoire Cache, Quad-Core ) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 8 Go DDR5 - Disque Dur: 512Go SSD - Carte Graphique: Intel® UHD Graphics avec Wifi, Bluetooth, 3x USB 3.2 Gen 1, 1x USB 3.2 Gen 1 Type-C, 4x USB 2.0, 1x HDMI 1.4b, 1x RJ-45, 1x DisplayPort 1.4a, 1x prise casque, 1x sortie audio - Couleur: Noir - Garantie: 1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *",1209,,Epuisé,DELL,Intel Core i3,Windows 11 Pro,8 Go DDR5,512Go SSD,,"Intel® UHD Graphics avec Wifi, Bluetooth, 3x USB 3.2 Gen 1, 1x USB 3.2 Gen 1 Type",,1 an + Clavier & Souris Retrait en Magasin ou Livraison Gratuite *,Noir
